"Gene1","Gene2","adenoma_cor","adenoma_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Parvimonas micra","Porphyromonas asaccharolytica",0.010104785826215,0.85058522344769,0.973737876080064,0,31.0357714171179,1.77523637109325e-211,3.6036036036036e-05,0.0868679315245639,"0/+"
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS2",0.488496377990059,0,0.988623270280314,0,29.5639782346358,4.34247486809789e-192,7.20720720720721e-05,0.0868679315245639,"+/+"
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS3",0.312523080528675,2.28393925993942e-09,0.975895264085247,0,27.1401452438455,3.30978999928947e-162,0.00018018018018018,0.144779885874273,"+/+"
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS2",0.504409048752913,0,0.982338532043517,0,26.0613252370855,1.00113220786924e-149,0.000252252252252252,0.152018880167987,"+/+"
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS3",0.34318127453279,4.14397405279487e-11,0.958962738860363,0,22.7411420834056,1.75599830408642e-114,0.000648648648648649,0.31272455348843,"+/+"
"Gemella morbillorum","Porphyromonas asaccharolytica",-0.0148407316097355,0.782036057683891,0.822670617264515,0,17.0342467369756,4.57595675569216e-65,0.00216216216216216,0.694943452196511,"0/+"
"Streptococcus sp. A12","Streptococcus sp. I-G2",0.652377255318744,0,0.959013925351864,0,16.6616085295169,2.49230385641669e-62,0.00241441441441441,0.694943452196511,"+/+"
"Streptococcus sp. A12","Streptococcus sp. JS71",0.629677819105862,0,0.954760364633031,0,16.4896108147547,4.35747109822689e-61,0.00259459459459459,0.694943452196511,"+/+"
"Streptococcus salivarius","Streptococcus sp. HSISS2",0.479521056250462,0,0.920270531109952,0,15.4253750338995,1.10511322000191e-53,0.0034954954954955,0.783763472069942,"+/+"
"Streptococcus anginosus","Streptococcus sp. HSISS3",0.203639975821237,0.000124850357980932,0.848901182551361,0,15.0969286822966,1.696536475445e-51,0.00374774774774775,0.783763472069942,"+/+"
"Streptococcus anginosus","Streptococcus sp. HSISS1",0.280856260677947,9.11814614923401e-08,0.793045002530925,0,11.4196255078433,3.33668612186563e-30,0.00781981981981982,0.783763472069942,"+/+"
"Streptococcus salivarius","Streptococcus equinus",0.92651176441557,0,0.698809954376533,0,-11.0908327540721,1.3898781561448e-28,0.00825225225225225,0.783763472069942,"+/+"
"Streptococcus sp. I-P16","Streptococcus sp. A12",0.647083041400059,0,0.908938420331925,0,10.8442348236634,2.12405745079199e-27,0.0083963963963964,0.783763472069942,"+/+"
"Streptococcus anginosus","Streptococcus sp. HSISS2",0.236616139182588,7.65737997632243e-06,0.75472349608887,0,10.7220159738195,8.02351535693457e-27,0.0085045045045045,0.783763472069942,"+/+"
"Streptococcus salivarius","Streptococcus sp. HSISS3",0.388137309752663,4.9737991503207e-14,0.813013278107836,0,10.4851724063402,1.01061173007985e-25,0.0089009009009009,0.783763472069942,"+/+"
"Streptococcus anginosus","Streptococcus sp. FDAARGOS 192",0.327369092646281,3.46525919070473e-10,0.76495918316199,0,9.64685188132206,5.06879103451659e-22,0.00994594594594595,0.783763472069942,"+/+"
